status_id,status_message,link_name,status_type,status_link,status_published,num_likes,num_comments,num_shares
123573591023105_765763856804072,,Economy should grow in new govt: CCIK,link,http://www.risingkashmir.com/economy-should-grow-in-new-govt-ccik/,12/28/2014 13:21,28,0,0
123573591023105_765763493470775,,Valley exports handicraft worth Rs 2000 Cr: DGFT,link,http://www.risingkashmir.com/valley-exports-handicraft-worth-rs-2000-cr-dgft/,12/28/2014 13:20,33,0,0
123573591023105_765763453470779,,"102 militants, 29 Army men killed in JK in 2014",link,http://www.risingkashmir.com/102-militants-29-army-men-killed-in-jk-in-2014/,12/28/2014 13:20,37,0,2
123573591023105_765705066809951,Two persons injured in a low-intensity explosion outside a restaurant in Bengaluru.,,status,,12/28/2014 11:10,112,1,0
123573591023105_765631633483961,AirAsia Flight update: Air search for missing AirAsia jet suspended for night.,,status,,12/28/2014 7:41,48,3,1
123573591023105_765609756819482,"Icicles formed on a slope near Mughal road due to the minus temperature in Jammu and Kashmir on Sunday, 28 December 2014.  Apart from the Himaliyan state whole North India is under the grip of extreme cold conditions putting normal life out of gear. Rising Kashmir/Shuaib Masoodi",Photos from Rising Kashmir's post,photo,https://www.facebook.com/dailyrisingkashmir/photos/a.518745964839197.1073741829.123573591023105/765609270152864/?type=3,12/28/2014 6:48,488,7,48
123573591023105_765589686821489,"AirAsia Flight update: The missing aircraft flying at 32,000 feet on Java sea was ordered to fly higher at 38,000 feet to avoid clouds, says official.",,status,,12/28/2014 5:54,103,4,1
123573591023105_765511196829338,"AirAsia Flight update: There were 155 passengers on board, with 138 adults, 16 children and 1 infant. Also on board were 2 pilots and 5 cabin crew.",,status,,12/28/2014 0:41,114,4,4
123573591023105_765505133496611,"AirAsia Flight update: Search and rescue operation underway for Air Asia flight which went missing en route from Indonesia to Singapore, says airline.",,status,,12/28/2014 0:14,84,3,3
123573591023105_765498176830640,AirAsia flight from Surabaya in Indonesia to Singapore with 162 people on board loses contact with ATC.,,status,,12/27/2014 23:45,86,12,3
123573591023105_765224920191299,,PDP in pursuit of ‘best deal’,link,http://www.risingkashmir.com/pdp-in-pursuit-of-best-deal/,12/27/2014 13:33,53,3,0
123573591023105_765224656857992,,Downtown residents allege unscheduled power cuts,link,http://www.risingkashmir.com/downtown-residents-allege-unscheduled-power-cuts/,12/27/2014 13:32,6,1,0
123573591023105_765224496858008,,BJP sets conditions for alliance,link,http://www.risingkashmir.com/bjp-sets-conditions-for-alliance/,12/27/2014 13:31,156,10,5
123573591023105_765224480191343,,Centaur’s major revamp reclaims state’s lost glory,link,http://www.risingkashmir.com/centaurs-major-revamp-reclaims-states-lost-glory/,12/27/2014 13:31,11,0,0
123573591023105_765224313524693,,Clock ticking towards Governor’s rule,link,http://www.risingkashmir.com/clock-ticking-towards-governors-rule/,12/27/2014 13:31,57,4,4
123573591023105_765224220191369,,Downtown residents allege unscheduled power cuts,link,http://www.risingkashmir.com/downtown-residents-allege-unscheduled-power-cuts/,12/27/2014 13:30,19,0,0
123573591023105_765224160191375,,Centaur’s major revamp reclaims state’s lost glory,link,http://www.risingkashmir.com/centaurs-major-revamp-reclaims-states-lost-glory/,12/27/2014 13:30,6,0,1
123573591023105_765224126858045,,Centaur’s major revamp reclaims state’s lost glory,link,http://www.risingkashmir.com/centaurs-major-revamp-reclaims-states-lost-glory/,12/27/2014 13:30,3,0,0
123573591023105_765223983524726,,"Home Ministry, JK Police refuse sharing SOP regarding combat ops: JKCCS",link,http://www.risingkashmir.com/home-ministry-jk-police-refuse-sharing-sop-regarding-combat-ops-jkccs/,12/27/2014 13:30,32,0,0
123573591023105_765223740191417,,RK Foundation continues with relief efforts for flood victims,link,http://www.risingkashmir.com/rk-foundation-continues-with-relief-efforts-for-flood-victims/,12/27/2014 13:29,20,0,0
123573591023105_765223426858115,,Talks on with other parties: BJP,link,http://www.risingkashmir.com/talks-on-with-other-parties-bjp/,12/27/2014 13:28,24,2,0
123573591023105_765223353524789,,"Pak violates ceasefire twice along IB in Jammu, Kathua",link,http://www.risingkashmir.com/pak-violates-ceasefire-twice-along-ib-in-jammu-kathua/,12/27/2014 13:28,15,0,0
123573591023105_765223043524820,,Omar’s Go figure: 15+2=15,link,http://www.risingkashmir.com/omars-go-figure-15215/,12/27/2014 13:27,65,1,2
123573591023105_765222956858162,,Bla jail inmates fed Jhelum water for drinking: Bar,link,http://www.risingkashmir.com/bla-jail-inmates-fed-jhelum-water-for-drinking-bar/,12/27/2014 13:27,33,0,1
123573591023105_765222543524870,,Cong miffed over PDP-BJP parleys,link,http://www.risingkashmir.com/cong-miffed-over-pdp-bjp-parleys/,12/27/2014 13:26,28,1,0
123573591023105_765222553524869,,Cong miffed over PDP-BJP parleys,link,http://www.risingkashmir.com/cong-miffed-over-pdp-bjp-parleys/,12/27/2014 13:26,9,1,0
123573591023105_765222436858214,,India asks Pak to hand over Dawood,link,http://www.risingkashmir.com/india-asks-pak-to-hand-over-dawood/,12/27/2014 13:26,26,2,1
123573591023105_765221913524933,,Regional parties should unite to form next govt: Tarigami,link,http://www.risingkashmir.com/regional-parties-should-unite-to-form-next-govt-tarigami/,12/27/2014 13:25,25,0,0
123573591023105_765221480191643,,49 aspiring entrepreneurs pass out from JKEDI,link,http://www.risingkashmir.com/49-aspiring-entrepreneurs-pass-out-from-jkedi/,12/27/2014 13:24,21,0,0
123573591023105_765221420191649,,MLAs who can fix the equation for govt formation,link,http://www.risingkashmir.com/mlas-who-can-fix-the-equation-for-govt-formation/,12/27/2014 13:24,30,0,1
123573591023105_765221253524999,,D&FC officials check milk quality at Pantha Chowk,link,http://www.risingkashmir.com/dfc-officials-check-milk-quality-at-pantha-chowk/,12/27/2014 13:23,25,0,0
123573591023105_765221086858349,,Mushtaq inaugurates currency chest in Kathua,link,http://www.risingkashmir.com/mushtaq-inaugurates-currency-chest-in-kathua/,12/27/2014 13:23,17,0,0
123573591023105_765220916858366,,"Parts of Dal, other water bodies freeze as temp drops to -5.6 degree C",link,http://www.risingkashmir.com/parts-of-dal-other-water-bodies-freeze-as-temp-drops-to-5-6-degree-c/,12/27/2014 13:22,43,1,4
123573591023105_765220803525044,,Police arrests 10 ‘gamblers’,link,http://www.risingkashmir.com/police-arrests-10-gamblers/,12/27/2014 13:22,26,1,1
123573591023105_765220686858389,,KCCI holds 80th AGM,link,http://www.risingkashmir.com/kcci-holds-80th-agm/,12/27/2014 13:22,23,0,0
123573591023105_765220673525057,,ICRC concludes phase II Emergency Medical Training,link,http://www.risingkashmir.com/icrc-concludes-phase-ii-emergency-medical-training/,12/27/2014 13:22,17,0,0
123573591023105_765220363525088,,2014 saw ‘slight decline’ in casualties of forces in JK,link,http://www.risingkashmir.com/2014-saw-slight-decline-in-casualties-of-forces-in-jk/,12/27/2014 13:21,18,1,0
123573591023105_765220323525092,,PDP authorizes Akhtar to speak to media,link,http://www.risingkashmir.com/pdp-authorizes-akhtar-to-speak-to-media/,12/27/2014 13:20,33,3,0
123573591023105_765219740191817,,"Hurriyat (M), JKLF, HCJK, others condole demise of Shah’s mother",link,http://www.risingkashmir.com/hurriyat-m-jklf-hcjk-others-condole-demise-of-shahs-mother/,12/27/2014 13:19,20,0,0
123573591023105_765186590195132,"Fire breaks out in Police station 
RK News
Baramulla: Fire broke out in Police station Chandoosa, Baramulla this evening. Reports said that fire erupted due to short circuit, a room of police station was gutted in fire. Fire has been doused off. No major loss has been reported.",,status,,12/27/2014 11:45,92,1,5
123573591023105_765080476872410,"Regional parties should get united to form next govt: Tarigami    
Junaid Kathju
Srinagar: CPI (M) leader Mohammad Yusuf Tarigami Saturday said by aligning with BJP to form the next government would prove catastrophic for the state of Jammu and Kashmir.
Tarigami said his support would be for any non BJP government. “I will support any regional party who will keep BJP at bay. The communal agendas of BJP is a serious threat to the secularism of the state.” 
Tarigami said all those parties who are holding back channel talks with BJP to form the next government should realize its consequences for future. “A better sense should prevail among the regional parties. I appeal all the regional parties to get united and form the next government on secular grounds,” Tarigami added.",,status,,12/27/2014 6:26,133,49,17
