,Unnamed: 0,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
97,97,703910.2125578703,31.748,137.858,405.0,7.0,mw,,,,,iscgem,iscgem908573,735731.7865972222,"Izu Islands, Japan region",earthquake
98,98,703908.7964467593,-33.471,58.431,10.0,6.3,mw,,,,,iscgem,iscgem908569,735731.7865972222,South Indian Ocean,earthquake
99,99,703907.2266782407,0.966,125.364,35.0,6.2,mw,,,,,iscgem,iscgem908560,735731.7865972222,Molucca Sea,earthquake
100,100,703903.1785300926,16.142,-96.107,15.0,7.6,mw,,,,,iscgem,iscgem908552,735731.7865972222,"Oaxaca, Mexico",earthquake
101,101,703899.499537037,-22.738,170.944,10.0,6.3,mw,,,,,iscgem,iscgem908544,735731.7865972222,southeast of the Loyalty Islands,earthquake
102,102,703897.2090972222,-22.455,170.236,10.0,7.6,mw,,,,,iscgemsup,iscgemsup908538,735792.7099768518,southeast of the Loyalty Islands,earthquake
103,103,703894.7721296296,-5.059,153.433,75.0,6.5,mw,,,,,iscgem,iscgem908536,735731.7865972222,"New Ireland region, Papua New Guinea",earthquake
104,104,703890.7538078703,-2.649,88.436,15.0,7.7,mw,,,,,iscgem,iscgem908528,735731.7865972222,South Indian Ocean,earthquake
105,105,703888.9468518519,37.667,102.132,15.0,6.2,mw,,,,,iscgem,iscgem908524,735731.7865972222,"Gansu-Qinghai border region, China",earthquake
106,106,703881.9147569444,-57.337,148.884,10.0,6.4,mw,,,,,iscgem,iscgem908517,735731.7865972222,west of Macquarie Island,earthquake
107,107,703878.0550347222,67.408,-171.668,10.0,6.5,mw,,,,,iscgem,iscgem908514,735731.7865972222,"near the north coast of Chukotskiy Avtonomnyy Okrug, Russia",earthquake
108,108,703876.5905787037,67.042,-173.886,15.0,6.3,mw,,,,,iscgem,iscgem908510,735731.7865972222,"near the north coast of Chukotskiy Avtonomnyy Okrug, Russia",earthquake
109,109,703873.825775463,67.526,-172.015,10.0,6.6,mw,,,,,iscgem,iscgem908503,735731.7865972222,"near the north coast of Chukotskiy Avtonomnyy Okrug, Russia",earthquake
110,110,703859.0011805556,-2.643,88.578,15.0,6.7,mw,,,,,iscgem,iscgem908485,735731.7865972222,South Indian Ocean,earthquake
111,111,703851.1356944444,-34.168,58.265,10.0,6.4,mw,,,,,iscgem,iscgem908477,735731.7865972222,South Indian Ocean,earthquake
112,112,703847.9107986111,-4.964,95.993,15.0,6.4,mw,,,,,iscgem,iscgem908473,735731.7865972222,"southwest of Sumatra, Indonesia",earthquake
113,113,703833.5463310186,-29.879,-71.819,30.0,6.3,mw,,,,,iscgem,iscgem908457,735731.7865972222,"offshore Coquimbo, Chile",earthquake
114,114,703831.1011226852,0.383,35.419,10.0,6.2,mw,,,,,iscgem,iscgem908454,735731.7865972222,Kenya,earthquake
115,115,703827.8138773148,0.34,35.86,15.0,7.0,mw,,,,,iscgem,iscgem908452,735731.7865972222,Kenya,earthquake
116,116,703818.7642708333,55.245,160.05,15.0,7.2,mw,,,,,iscgem,iscgem16960058,735731.7865972222,"Kamchatka Peninsula, Russia",earthquake
117,117,703791.1926388888,-0.842,120.764,20.0,6.3,mw,,,,,iscgem,iscgem909657,735731.7865972222,"Minahasa, Sulawesi, Indonesia",earthquake
118,118,703781.967037037,-44.816,-72.926,15.0,7.2,mw,,,,,iscgem,iscgem909648,735731.7865972222,"Aisen, Chile",earthquake
119,119,703776.8820601852,6.678,125.972,35.0,6.9,mw,,,,,iscgem,iscgem909631,735731.7865972222,"Mindanao, Philippines",earthquake
120,120,703774.3052083333,-30.798,-70.782,50.0,6.7,mw,,,,,iscgem,iscgem909624,735731.7865972222,"Coquimbo, Chile",earthquake
121,121,703774.2059375,70.094,128.731,15.0,6.7,mw,,,,,iscgem,iscgem909623,735731.7865972222,"northwestern Sakha, Russia",earthquake
122,122,703774.008425926,70.221,128.939,15.0,6.5,mw,,,,,iscgem,iscgem909622,735731.7865972222,"northwestern Sakha, Russia",earthquake
123,123,703768.1322916667,-33.997,58.37,10.0,6.5,mw,,,,,iscgem,iscgem909614,735731.7865972222,South Indian Ocean,earthquake
124,124,703764.5771180555,34.813,-120.774,10.0,6.9,mw,,,,,iscgem,iscgem909604,735731.7865972222,offshore Central California,earthquake
125,125,703753.7956481482,34.279,142.483,15.0,6.3,mw,,,,,iscgem,iscgem909583,735731.7865972222,"off the east coast of Honshu, Japan",earthquake
126,126,703753.6666087963,57.776,-136.67,10.0,7.3,mw,,,,,iscgem,iscgem909582,735731.7865972222,Southeastern Alaska,earthquake
127,127,703722.5793865741,42.481,84.151,10.0,6.4,mw,,,,,iscgem,iscgem909526,735731.7865972222,"northern Xinjiang, China",earthquake
128,128,703710.9276851852,44.428,34.422,35.0,6.7,mw,,,,,iscgem,iscgem909503,735731.7865972222,"Crimea region, Ukraine",earthquake
129,129,703702.8248842593,10.824,-43.405,10.0,6.6,mw,,,,,iscgem,iscgem909486,735731.7865972222,northern Mid-Atlantic Ridge,earthquake
130,130,703692.7562615741,23.353,120.305,10.0,6.4,mw,,,,,iscgem,iscgem909473,735731.7865972222,Taiwan,earthquake
131,131,703691.270150463,34.621,142.058,15.0,6.2,mw,,,,,iscgem,iscgem909469,735731.7865972222,"off the east coast of Honshu, Japan",earthquake
132,132,703688.9961921297,5.262,-82.059,10.0,6.8,mw,,,,,iscgem,iscgem909462,735731.7865972222,south of Panama,earthquake
133,133,703686.8110532408,34.463,141.469,20.0,6.9,mw,,,,,iscgem,iscgem909456,735731.7865972222,"off the east coast of Honshu, Japan",earthquake
